step_range	sample_id	runtime_1	runtime_2	runtime_3	avg_runtime	std_runtime
0:49	19	2232.5530000000003	N/A	N/A	2232.5530000000003	N/A
0:49	11	2238.9056666666665	N/A	N/A	2238.9056666666665	N/A
0:49	14	2263.2383333333337	N/A	N/A	2263.2383333333337	N/A
0:49	9	2282.50625	N/A	N/A	2282.50625	N/A
0:49	17	2284.4573333333337	N/A	N/A	2284.4573333333337	N/A
0:49	81	2288.784666666667	N/A	N/A	2288.784666666667	N/A
0:49	3	2289.3076666666666	N/A	N/A	2289.3076666666666	N/A
0:49	10	2293.5636666666655	N/A	N/A	2293.5636666666655	N/A
0:49	5	2296.7019999999998	N/A	N/A	2296.7019999999998	N/A
0:49	15	2299.6483333333326	N/A	N/A	2299.6483333333326	N/A
0:49	7	2300.215	N/A	N/A	2300.215	N/A
0:49	12	2304.915333333334	N/A	N/A	2304.915333333334	N/A
0:49	4	2306.9098333333336	N/A	N/A	2306.9098333333336	N/A
0:49	16	2309.6781666666666	N/A	N/A	2309.6781666666666	N/A
0:49	1	2312.488333333334	N/A	N/A	2312.488333333334	N/A
0:49	8	2313.2683333333334	N/A	N/A	2313.2683333333334	N/A
0:49	6	2333.3329999999996	N/A	N/A	2333.3329999999996	N/A
0:49	18	2350.0422857142853	N/A	N/A	2350.0422857142853	N/A
0:49	126	2350.992399999999	N/A	N/A	2350.992399999999	N/A
0:49	13	2372.0899999999997	N/A	N/A	2372.0899999999997	N/A
0:49	2	2385.6330000000007	N/A	N/A	2385.6330000000007	N/A
0:49	26	2403.633499999999	N/A	N/A	2403.633499999999	N/A
0:49	0	2776.4423333333343	N/A	N/A	2776.4423333333343	N/A
0:49	449	2952.1450000000004	N/A	N/A	2952.1450000000004	N/A
0:49	447	2987.6130000000007	N/A	N/A	2987.6130000000007	N/A
0:49	364	3051.960000000002	N/A	N/A	3051.960000000002	N/A
0:49	438	3167.6583750000013	N/A	N/A	3167.6583750000013	N/A
0:49	465	3464.1416666666673	N/A	N/A	3464.1416666666673	N/A
0:49	459	6207.077999999996	N/A	N/A	6207.077999999996	N/A
0:49	528	10798.035	N/A	N/A	10798.035	N/A
0:49	546	63758.42500000001	N/A	N/A	63758.42500000001	N/A
0:49	1020	132070.49399999998	N/A	N/A	132070.49399999998	N/A
